Basque,Catalan,Dutch,Filipino,Finnish,French,German,Haitian Creole,Hindi,Indonesian,Italian,Lithuanian,Norwegian,Polish,Portuguese,Romanian,Spanish,Swedish,Turkish,Undefined,Vietnamese
2020-05-18,0,1,27,0,3,52,24,0,0,0,77,1,0,8,55,4,0,0,0,0,0
2020-05-19,0,0,35,0,0,79,43,0,0,0,41,2,0,11,22,0,0,0,0,0,0
2020-05-20,0,0,33,0,2,36,27,0,0,0,48,3,0,11,13,12,0,0,0,0,0
2020-05-21,0,0,35,0,2,38,27,0,0,0,82,1,0,11,13,5,0,0,0,0,0
2020-05-22,0,1,29,0,0,40,36,0,0,0,38,3,0,15,16,4,0,0,0,0,0
2020-05-23,0,0,29,0,1,123,13,0,0,0,40,1,0,12,12,2,0,0,0,0,0
2020-05-24,0,0,32,0,1,74,17,0,0,0,38,0,0,8,23,1,0,0,0,0,0
2020-05-25,0,0,39,0,1,94,92,0,0,0,30,0,0,9,40,2,0,0,0,0,0
2020-05-26,0,0,39,0,2,41,37,1,0,0,93,0,0,7,20,2,0,0,0,0,0
2020-05-27,0,0,33,0,2,37,41,0,0,0,69,0,0,9,12,0,1,0,0,0,0
2020-05-28,0,0,21,0,2,68,29,0,0,0,71,1,0,4,11,1,0,0,0,0,0
2020-05-29,0,0,27,0,1,46,19,0,0,0,80,0,0,7,15,0,0,0,0,0,0
2020-05-30,0,0,28,0,1,34,27,0,0,0,60,1,0,5,12,0,0,0,0,0,0
2020-05-31,0,0,19,0,1,45,14,0,0,0,58,2,0,7,9,2,0,0,0,0,0
2020-06-01,0,0,26,0,1,31,12,0,0,0,46,1,0,6,16,1,0,0,0,0,0
2020-06-02,0,0,15,0,0,39,16,0,0,0,41,8,0,3,6,0,0,0,0,0,0
2020-06-03,0,0,16,0,0,39,27,0,0,0,58,0,0,4,8,9,0,0,0,0,0
2020-06-04,0,0,16,0,0,17,18,0,0,0,50,0,0,9,4,1,0,0,0,0,0
2020-06-05,0,0,17,0,0,24,26,0,0,0,46,0,0,2,30,3,0,0,0,0,0
2020-06-06,0,1,29,18,18,50,62,0,1,1,147,55,0,49,2648,6,22,0,0,0,0
2020-06-07,0,3,35,20,50,68,318,0,0,2,345,94,0,47,3600,10,32,0,0,0,1
2020-06-08,0,1,16,2,4,31,96,0,0,0,77,23,0,16,414,5,6,0,0,0,0
2020-06-09,0,0,29,0,2,58,33,0,0,0,92,13,0,9,156,2,2,0,0,0,0
2020-06-10,0,0,13,4,4,76,41,0,0,0,61,18,0,10,137,1,1,0,0,0,0
2020-06-11,0,0,30,0,0,45,15,0,0,0,66,13,0,3,77,0,1,0,0,0,0
2020-06-12,0,0,12,0,1,30,13,0,0,0,35,7,0,5,59,1,1,0,0,0,0
2020-06-13,0,0,15,0,1,22,21,1,0,0,39,4,0,1,48,0,2,0,0,0,0
2020-06-14,0,0,16,0,2,32,20,0,0,0,27,2,0,4,30,6,0,0,0,0,0
2020-06-15,0,0,6,0,2,24,34,0,0,0,23,6,0,4,43,1,0,0,0,0,0
2020-06-16,0,0,9,0,1,29,57,0,0,0,38,6,0,2,36,4,0,0,0,0,0
2020-06-17,0,0,9,0,3,19,49,0,0,0,24,2,0,5,31,5,1,0,0,0,0
2020-06-18,0,0,12,0,0,28,27,0,0,0,18,3,0,6,21,1,0,0,0,0,0
2020-06-19,0,0,7,0,0,15,14,0,0,0,15,1,0,5,27,1,2,0,0,0,0
2020-06-20,0,0,10,0,0,30,13,0,0,0,19,0,0,3,22,1,0,0,0,0,0
2020-06-21,0,0,12,0,0,20,8,0,0,0,14,4,0,2,23,0,0,0,0,0,0
2020-06-22,0,0,19,0,0,21,17,0,0,0,17,3,0,5,25,1,1,0,0,0,0
2020-06-23,0,0,13,0,5,17,15,0,0,0,23,2,0,3,37,0,0,0,0,0,0
2020-06-24,0,0,14,0,0,17,14,0,0,0,24,4,0,9,25,2,1,0,0,0,0
2020-06-25,0,0,16,0,1,24,21,0,0,0,24,3,0,11,26,2,1,0,0,0,0
2020-06-26,0,0,13,3,40,20,24,1,0,0,21,23,0,2,114,2,2,0,0,0,0
2020-06-27,0,0,12,0,6,33,21,1,0,0,15,16,0,5,47,0,0,0,0,0,0
2020-06-28,0,0,14,0,4,36,49,0,0,0,9,1,0,2,27,0,0,0,0,0,0
2020-06-29,0,0,14,0,1,45,32,0,0,0,16,2,0,3,18,2,1,0,0,0,0
2020-06-30,0,0,11,0,0,41,18,0,0,0,5,4,0,2,15,1,0,0,0,0,0
2020-07-01,0,0,8,0,2,80,20,1,0,0,9,0,0,2,18,2,0,0,0,0,0
2020-07-02,0,0,12,0,0,40,12,0,0,0,21,0,0,6,12,1,0,0,0,0,0
2020-07-03,0,0,10,0,1,26,12,0,0,0,13,1,0,4,13,1,0,0,0,0,0
2020-07-04,0,0,26,0,4,13,12,0,0,0,13,1,0,2,12,0,0,0,0,0,0
2020-07-05,0,0,9,0,0,43,16,0,0,0,10,0,0,3,14,0,0,0,0,0,0
2020-07-06,0,0,10,0,1,28,28,0,0,0,17,3,0,5,16,1,1,0,0,0,0
2020-07-07,0,0,44,0,5,24,15,0,0,0,33,1,0,3,27,1,1,0,0,0,0
