lang,date,average_sentiment_polarity
pl,2020-10-26,0.0
pl,2020-10-27,0.0
pl,2020-10-28,0.0
pl,2020-10-29,0.0
pl,2020-10-30,0.145
pl,2020-10-31,0.0
pl,2020-11-01,0.0
pl,2020-11-02,0.125
pl,2020-11-03,0.0
pl,2020-11-04,0.0062499999999999
pl,2020-11-05,0.0
pl,2020-11-06,0.0833333333333333
pl,2020-11-07,-0.0166666666666666
pl,2020-11-08,0.0
pl,2020-11-09,0.0
pl,2020-11-10,0.0555555555555555
pl,2020-11-11,0.0
pl,2020-11-12,0.0
pl,2020-11-13,0.0
pl,2020-11-14,0.0
pl,2020-11-15,0.5
pl,2020-11-16,0.0
pl,2020-11-17,0.0
pl,2020-11-18,0.1472222222222222
pl,2020-11-19,0.0
pl,2020-11-20,0.0
pl,2020-11-21,0.0
pl,2020-11-22,0.0
pl,2020-11-23,0.0
pl,2020-11-24,0.0
pl,2020-11-25,0.0
pl,2020-11-27,0.0361111111111111
pl,2020-11-28,0.0
pl,2020-11-29,0.0
pl,2020-11-30,0.0
pl,2020-12-02,0.0
pl,2020-12-04,0.0
pl,2020-12-06,0.0
pl,2020-12-07,0.0
pl,2020-12-08,0.0
pl,2020-12-09,0.1333333333333333
pl,2020-12-10,0.0
pl,2020-12-11,0.0833333333333333
pl,2020-12-12,0.0
pl,2020-12-13,0.0
pl,2020-12-14,0.0
pl,2020-12-15,0.0
pl,2020-12-16,0.05
pl,2020-12-17,0.0
pl,2020-12-19,0.125
pl,2020-12-20,0.0
pl,2020-12-21,-0.0833333333333333
pl,2020-12-22,0.0833333333333333
pl,2020-12-23,0.0
pl,2020-12-24,0.0
pl,2020-12-25,0.0625
pl,2020-12-26,0.0
pl,2020-12-27,0.0357142857142857
pl,2020-12-28,0.0041666666666666
pl,2020-12-29,0.0583333333333333
pl,2020-12-30,0.0333333333333333
pl,2020-12-31,0.0
pl,2021-01-02,-0.125
pl,2021-01-03,0.0
pl,2021-01-04,0.5
pl,2021-01-05,0.0
pl,2021-01-06,0.0
pl,2021-01-08,0.0
pl,2021-01-09,0.25
pl,2021-01-11,0.0
pl,2021-01-12,0.0
pl,2021-01-16,0.0
pl,2021-01-17,0.0
pl,2021-01-19,-0.0333333333333333
pl,2021-01-21,0.25
pl,2021-01-24,0.0
pl,2021-01-25,0.0
pl,2021-01-29,0.3833333333333333
pl,2021-01-30,0.0
pl,2021-01-31,0.0
pl,2021-02-01,0.0
pl,2021-02-03,0.0
pl,2021-02-05,0.0
pl,2021-02-07,0.0
pl,2021-02-08,0.0
pl,2021-02-09,0.0
